"Projeto";"CAD";"Owner";"Papel";"Hierarquia";"Etapa Atual";"Status Etapa (id)";"Atrasado";"Inconsistente";"Inconsistências (motivos)";"Success Rate";"Responsável – Success rate";"Notificações não lidas";"Tags";"Time";"Saving (U$)";"Saving Bucket";"idcad_x_projeto";"Última Notificação (ISO)"
"Q3 Entrenamiento MeLi AXIS MLM ";"XEM02";"lberesforddi";"Owner";"Proyecto principal";"Discovery";"15";"Sí";"No";"";"No Evaluado";"";"0";"Non-Systemic";"Lean MLM-LOCAL";"0";"0";"79450662-ed3a-4e90-888b-5075d34a556e";""
"Ajuste de layout en labels para triage";"Lean MLM";"mongallardor";"Colaborador";"Proyecto principal";"Discovery";"14";"Sí";"No";"";"No Evaluado";"";"2";"Non-Systemic";"Lean MLM-LOCAL";"0";"0";"d278c1d2-3e4a-44bb-9f8c-ca474a1cdb3b";"2026-08-14T01:08:37.000Z"
"Q3-2026 PL Layout Labels";"Lean MLM";"mongallardor";"Editor";"Proyecto principal";"Discovery";"14";"Sí";"No";"";"No Evaluado";"";"2";"Non-Systemic";"Lean MLM-LOCAL";"0";"0";"b4021145-ea5b-4b8a-a04e-87707ad179d5";"2026-08-14T01:26:20.000Z"
"Gestión de insumos reutilizables";"MXNL02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"005272dc-91c9-4ff6-b685-5b5a3de39103";""
"Nuevo acceso a "Mi rendimiento" desde BOXI para Desktop ";"BRAGO1";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  P3";"Sin equipo";"0";"0";"00d0c8cc-6af4-49d1-95ab-477a9693873e";""
"Ajuste de Caja Máxima — MCO";"ARBA01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  Systemic  P3";"Sin equipo";"0";"0";"010881e1-b41d-48bc-ada3-994eb46ea398";""
"Mudanças na app de gestão de usuarios e ações massivas : Mudança de líder e extensão de caducidad";"BRRS01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"BRRS01-CIE";"0";"0";"01e09601-6d1b-4d82-8e3f-7b5762156635";""
"Gestión de insumos reutilizables";"MXCD14";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"01e42f54-0f6a-469d-916e-51964675011a";""
"Ajuste de Caja Máxima Virtual MLM";"MXCD13";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  Systemic  P3";"Sin equipo";"0";"0";"01fed0f2-085d-431f-b93f-80eaaed514c4";""
"Teste PD 10-08";"BRAES1";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"02569eb4-598f-4fb2-ad3a-0e8ddc016fdb";""
"Acceso Contextual : Sinergia Temporal";"CLRM03";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"0333a8c8-f7de-42f2-8357-918fce7b7a7e";""
"App Conteos Mangapallets RFID";"COCU02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C2  Roll Out  P1";"Sin equipo";"0";"0";"03d7be8b-2c46-4c4c-bcf7-b82e0ed78bd2";""
"Ajuste de Caja Máxima Virtual MLM";"MXCD09";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  Systemic  P3";"Sin equipo";"0";"0";"042e17a0-ad74-4b5a-abdb-82dac7135cd7";""
"Nuevo acceso a "Mi rendimiento" desde BOXI para Desktop ";"BRSP25";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  P3";"Sin equipo";"0";"0";"048a1579-8547-47ef-a918-5ed57ba61d3c";""
"Mudanças na app de gestão de usuarios e ações massivas : Mudança de líder e extensão de caducidad";"BRSP26";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"BRSP26-CIE";"0";"0";"04e94de0-1809-4235-864c-e46504afeacd";""
"Acceso Contextual : Sinergia Temporal";"MXCD02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"04eb2549-a1c8-42ba-8269-9373298d495b";""
"Processamento por Volume";"USTX01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  P1";"Sin equipo";"0";"0";"04fe16cb-cec1-4944-a5ce-aad87747a8a6";""
"Gestión de insumos reutilizables";"MXCD09";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"0510488a-2bb1-4497-bd87-f4f67333646f";""
"Nova Home & Mi Perfil";"MXYU01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"MXYU01-CIE";"0";"0";"052f9c55-dd59-48f2-8098-9d94561a5eda";""
"Gestión de insumos reutilizables";"BRBA02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"058da149-2431-4bfc-88da-7387e329a58c";""
"Gestión de insumos reutilizables";"MXCD10";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"060b0ac5-e377-4cf1-9073-78fcfc91e0d3";""
"App Conteos Mangapallets RFID";"MXAMZ1";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C2  Roll Out  P1";"Sin equipo";"0";"0";"064648d2-9565-4917-aa56-f3dd4e874d8d";""
"Acesso Contextual - Mi Primero Proceso";"CLRM03";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  P1";"Sin equipo";"0";"0";"067f8e27-8387-4ad6-85a9-94e902de4a4c";""
"Nova Home & Mi Perfil";"BRSP06";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"BRSP06-CIE";"0";"0";"06b2751a-d8ce-48bd-a115-01665224ca45";""
"GAP GGPXGNP  (Pilar 4: Yo me apunto)";"MXNL01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"06e146b6-15db-49ca-bd79-e38d1e27b274";""
"Acceso Contextual : Sinergia Temporal";"BRRC02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"077b52be-375d-4c3e-884d-0befecc0d4a2";""
"Cambio en la Tool de Gestion de proveedores";"GROOT";"";"Visualizador";"Proyecto principal";"";"";"No";"No";"";"No Evaluado";"";"0";"";"GROOT-Regional";"0";"0";"07dd5185-459d-46d6-a00b-b1fe38e85518";""
"Mudanças na app de gestão de usuarios e ações massivas : Mudança de líder e extensão de caducidad";"BRSP19";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"BRSP19-CIE";"0";"0";"083dc7c0-7aed-46af-a569-7476b18c9ab8";""
"Flyers MLB con PCR";"BRSP30";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out";"Sin equipo";"0";"0";"08ba4783-00e5-4184-a292-29957dd28394";""
"App Conteos Mangapallets RFID";"BRSP31";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C2  Roll Out  P1";"Sin equipo";"0";"0";"08c398eb-b986-48f7-9578-5fc0eb7c9c89";""
"Acceso Contextual : Sinergia Temporal";"BRBA02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"096ed79c-cb3d-47ee-a7b3-50cb093f8e56";""
"NTM - Node Task Manager";"BRSP24";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  Systemic  P1";"Sin equipo";"0";"0";"0aeac91b-7438-44bc-8e18-979a32cced6e";""
"Acesso Contextual - Mi Primero Proceso";"MXCD07";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  P1";"Sin equipo";"0";"0";"0b4b38b6-0438-4399-9d5c-0048f555a216";""
"GAP GGPXGNP  (Pilar 4: Yo me apunto)";"MXCD09";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out";"Sin equipo";"0";"0";"0b87ff20-872f-498c-b2bd-46a7dcf2ba07";""
"HERMES — Catalogação de Rezagos e Salvados Não Sistêmicos";"BRRS01";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  Non-Systemic  P1";"Sin equipo";"0";"0";"0c1b9371-9a35-46c8-8d46-08291334aa1a";""
"Nuevo acceso a "Mi rendimiento" desde BOXI para Desktop ";"BRRC02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  P3";"Sin equipo";"0";"0";"0cd094bc-d886-425b-a539-5897e0c7eb94";""
"NTM - Node Task Manager";"BRSP02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  Systemic  P1";"Sin equipo";"0";"0";"0d89bc3a-ed13-42c6-b211-8bf74782071a";""
"Gift Wrap";"MXCD06";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C3  Roll Out  Systemic  P1";"Sin equipo";"0";"0";"0dd4a638-5096-47ec-bb9c-d119ecd35251";""
"Cambio en la Tool de Gestion de proveedores";"GROOT";"";"Visualizador";"Proyecto principal";"";"";"No";"No";"";"No Evaluado";"";"0";"";"GROOT-Regional";"0";"0";"0dfc4604-86f3-4565-b8db-14fce97fed66";""
"Nuevo acceso a "Mi rendimiento" desde BOXI para Desktop ";"BRSP02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"Roll Out  P3";"Sin equipo";"0";"0";"0ebd3f0b-91b2-4e2d-85d2-e096206a14ff";""
"NTM - Node Task Manager";"BRSP18";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C1  Roll Out  Systemic  P1";"Sin equipo";"0";"0";"0ed4912f-ca19-4245-806b-6ff0288afd4d";""
"App Conteos Mangapallets RFID";"MXRC02";"";"Visualizador";"Proyecto ramificado";"";"";"No";"No";"";"No Evaluado";"";"0";"C2  Roll Out  P1";"Sin equipo";"0";"0";"0f7ffe5b-1b81-4db4-b128-b70a3e3c2ebd";""
